;;;;
No.;Company Name;Address;Phone;Email/Website
1;Ahead LLC;270 Samuel Barnet Blvd, New Bedford, MA 02745, USA;+1 508 985 9898;www.aheadweb.com
2;B.T.C. Activewear Ltd;Point 1 Opus 9, Axletree Way, Wednesbury, WS10 9QY, GREAT BRITAIN;+44 121 505 7770;www.btcactivewear.co.uk, info@btcactivewear.co.uk
3;Craft of Scandinavia AB;Evedalsgatan 5, 504 35 Borås, SWEDEN;+46 33 722 32 30;www.craftofscandinavia.com, customercare@craftofscandinavia.com
4;Craft Sports Inc;2315 rue Cohen, Montreal, Quebec, H4R2N7, CANADA;+1 514 312 7725;www.craftsports.ca, info@craftsports.ca
5;Craft Sportswear NA LLC;6 School St, Manchester, MA 01944, USA;+1 978 524 0032;www.craftsports.us, info@craftsports.us
6;Cutter & Buck Inc.;4001 Oakesdale Ave SW, Renton, WA 98057, USA;+1 206 622 4191;www.cutterbuck.com, help@cutterbuck.com
7;Desktop Ideas Ltd.;1 Wenman Road, Thame Park Business Centre, Thame, Oxon, OX9 3XA, GREAT BRITAIN;+44 844 875 7624;www.desktopideas.com, info@desktopideas.com
8;DJ Frantextil AB;Åkarevägen 18, 455 83 Dingle, SWEDEN;+46 524 283 70;www.dochj.se, info@dochj.se
9;Ferstar;2315 Rue Cohen, Montreal, Quebec, H4R 2N7, CANADA;+1 514 384-7462;www.ferstar.com, info@ferstar.com
10;GC Sportswear OY;Showroom: Mikkolantie 1B, 00640 Helsinki, Warehouse: Vihiojantie 1, 33800 Tampere, FINLAND;+358 444 022 440;www.gcsuomi.fi, tilaukset@gcsuomi.fi
11;Glasma AB;Långgatan 22, 361 31 Emmaboda, SWEDEN;+46 471 481 50;www.glasma.se, info@glasma.se
12;Gloves International Inc.;2445 State Highway 30, Mayfield, NY 12117, USA;+1 800 262 0978;www.glovesinternational.com, giisales@gloves-international.com
13;Intraco Trading B.V.;Noorddijk 88, 1521 PD Wormerveer, THE NETHERLANDS;+31 75 647 5420;www.intraco.nl, info@intraco.nl
14;Jobman Texet AB;Visitor’s address: Jupitervägen 2, 194 43 Upplands Väsby, Post address: Box 2044, 194 05 Upplands Väsby, SWEDEN;+46 8 630 29 00;www.jobman.se, info@jobman.se
15;Kosta Boda Art Hotel AB;Stora vägen 75, 365 43 Kosta, SWEDEN;+46 478 348 30;www.kostabodaarthotel.se, info@kostabodaarthotel.se
16;Kosta Fashion AB;Stora vägen 77, 365 43 Kosta, SWEDEN;+46 478 345 20;www.kostafashion.se, kosta.fashion@kostafashion.se
17;Kosta Food & Beverage AB;Stora vägen 77, 365 43 Kosta, SWEDEN;+46 478 349 35;
18;Kosta Förlag;Stora vägen 77, 360 52 Kosta, SWEDEN;+46 478 349 34;www.kostaforlag.se, info@kostaforlag.se
19;Kosta Lodge;Stora vägen 2, 365 43 Kosta, SWEDEN;+46 478 590 530;www.kostalodge.se, info@kostalodge.se
20;Kosta Outdoor AB;Stora vägen 77, 365 43 Kosta, SWEDEN;+46 478 486 20;www.kostaoutlet.se, kosta@jaktia.se
21;Lågprisvaruhuset i Kosta AB;Hulterstad 1, 365 43 Kosta, SWEDEN;+46 70 719 03 31;www.kostaoutlet.se, lagpriset@orrefors.se
22;New Wave Austria GmbH;Mühlgraben 43D, 6343 Erl, AUSTRIA;+43 5373 200 60;www.newwave-austria.at, info@newwave-austria.at
23;New Wave Denmark A/S;Lyskær 13A, DK-2730 Herlev, DENMARK;+45 43 43 71 00;www.newwave.dk, mail@newwave.dk
24;New Wave France S.A.S.;Technoland, 3, Allée des Abruzzes, 69 800 SAINT-PRIEST, FRANCE;+33 4 78 66 31 58;www.newwave.fr, commandes@newwave.fr
25;New Wave Germany GmbH;Geigelsteinstrasse 10, 83080 Oberaudorf, GERMANY;+49 8033 9790;www.newwave-germany.de, info@newwave-germany.de
26;New Wave Group AB - Head office;Kungsportsavenyen 10, SE-411 36 Göteborg, SWEDEN;+46 (0) 31 712 89 00;info@nwg.se
27;New Wave Group Bangladesh;House # 10/A (6th & 7th Floor), Road # 04, Gulshan-1, Dhaka-1212, BANGLADESH;+880-2-9888230-1, 8834235, 8831129, Cell: +88 01730 303 934, Skype: nwbdmaruf;maruf@newwave-dhaka.com
28;New Wave Group China;4th Floor, Building E, Nr. 1978, Lianhua Road, Shanghai 201103, CHINA;+86 21 6145 8828;mark.cao@newwave.cn
29;New Wave Group India Buying Pvt Ltd.;1/32 Ulsoor Rd Cross, Ulsoor, Bangalore 560 042, INDIA;+91 99 409 99 965;sriram@newwave.cn
30;New Wave Group SA;Chemin des Polonais 3, 2016 Cortaillod, SWITZERLAND;+41 32 843 32 32;
31;New Wave Group Vietnam;97/4 Tran Nao Str, Binh An Ward, District 2, Ho Chi Minh City, VIETNAM;-36202023;cuong.nguyen@newwave.cn
32;New Wave Iceland ehf;Höfðabakka 9, 110 Reykjavik, ICELAND;+354 520 60 20;www.newwave.is, fyrirspurn@newwave.is
33;New Wave Italia S.r.l.;28 Via P. Togliatti, Zona Mirandolina, 26845 Codogno (LO), ITALY;+39 377 31 60 11;www.newwave.it, clienti@newwave.it
34;New Wave Mode AB;Åkarevägen 18, 455 83 Dingle, SWEDEN;+46 524 283 00;www.newwave.se, info@newwave.se
35;New Wave Norway AS;Torvstikkeren 10, 1640 Råde, NORWAY;+47 69 14 37 00;www.newwave.no, info@newwave.no
36;New Wave Sportswear BV;Reactorweg 201, 3542 AD Utrecht, THE NETHERLANDS;+31 30 20 83 030;www.newwavetextiles.nl, info@newwavetextiles.nl
37;New Wave Sportswear SA;Carrer Mallorca 1, 08192 Sant Quirze del Vallès, Barcelona, SPAIN;+34 937 219 505;www.newwave.es, info@newwave.es
38;New Wave Trading Shanghai Ltd;4th Floor, Building E, Nr. 1978, Lianhua Road, Shanghai 201103, CHINA;+86 21 6145 8828;mark.cao@newwave.cn
39;Orrefors Kosta Boda AB;Stora vägen 96, 365 43 Kosta, SWEDEN;+46 478 345 00;www.orrefors.se, info@orrefors.se
40;Orrefors Kosta Boda AS;Hovfaret 12, 0275 Oslo, NORWAY;+47 48 32 81 31;www.orreforsberens.no
41;Orrefors Kosta Boda LLC;1317 Route 73, Suite 106, Mount Laurel, NJ 08054, USA;+1 856 768 5400;www.orrefors.us, www.kostaboda.us, info@okbusa.com
42;Oy Trexet Finland AB;Juvan Teollisuuskatu 12, 02920 Espoo, FINLAND;+358 9 525 95 80;www.newwave.fi, myynti@newwave.fi
