Subdomain,IPv4,IPv6
filesender.ap.be,217.19.237.54,Unresolved
kandidaat.ap.be,Unresolved,"188.208.36.192,2a00:1c98:1000:1284:0:3:8e03:53a3"
cyod.ap.be,217.19.237.54,Unresolved
aidd.ap.be,188.208.36.192,Unresolved
onedrive.ap.be,217.19.237.54,Unresolved
ai.ap.be,188.208.36.192,Unresolved
diveinweek.ap.be,Unresolved,"188.208.37.40,2a00:1c98:1000:12b2:0:3:c61d:72f3"
eduroam.ap.be,217.19.237.54,Unresolved
crm-tp.ap.be,Unresolved,"188.208.36.243,2a00:1c98:1000:1291:0:3:a5b2:78bf"
alumni.ap.be,217.19.237.54,Unresolved
srkan.ap.be,217.19.237.54,Unresolved
www.zorgneticuro.ap.be,Unresolved,"2a00:1c98:1000:1092:0:3:86b5:59f6,185.162.31.203"
antivirus.ap.be,217.19.237.54,Unresolved
inclusiedag.ap.be,217.19.237.54,Unresolved
wachtwoord.ap.be,217.19.237.54,Unresolved
www.ap.be,193.191.187.195,Unresolved
adaptiveuserinterfaces.ap.be,188.208.36.225,Unresolved
ap.be,193.191.187.195,Unresolved
jou.ap.be,188.208.36.225,Unresolved
aui.ap.be,188.208.36.225,Unresolved
verpakkingsproject.ap.be,188.208.36.225,Unresolved
senseofhome.ap.be,83.217.75.1,Unresolved
hoop2.ap.be,217.19.237.54,Unresolved
contactict.ap.be,217.19.237.54,Unresolved
contact-ict.ap.be,217.19.237.54,Unresolved
werkbaarwerkt.ap.be,217.19.237.54,Unresolved
help.ap.be,217.19.237.54,Unresolved
sbc01.ap.be,193.191.187.199,Unresolved
www.uitleen-ict.ap.be,Unresolved,"188.208.36.192,2a00:1c98:1000:1284:0:3:8e03:4af0"
webuntis.ap.be,217.19.237.54,Unresolved
schooltaalvaardig.ap.be,217.19.237.54,Unresolved
epublishingproject.ap.be,188.208.36.192,Unresolved
www.diveinweek.ap.be,188.208.37.40,Unresolved
sbc02.ap.be,193.191.187.202,Unresolved
vpn.ap.be,193.191.187.225,Unresolved
doemproject.ap.be,188.208.36.192,Unresolved
spottingtalent.ap.be,188.208.36.225,Unresolved
orthovto.ap.be,188.208.36.237,Unresolved
www210.ap.be,193.191.187.210,Unresolved
flows.ap.be,193.191.187.210,Unresolved
stuvochat.ap.be,193.191.187.210,Unresolved
kamermuziek.ap.be,193.191.187.210,Unresolved
exachatict.ap.be,193.191.187.210,Unresolved
digitapro.ap.be,193.191.187.210,Unresolved
bibchat.ap.be,193.191.187.210,Unresolved
k8s.ap.be,193.191.187.210,Unresolved
inovant.ap.be,52.49.136.181,Unresolved
stem.ap.be,193.191.187.210,Unresolved
www.senseofhome.ap.be,Unresolved,"2a00:1c98:1000:10a2:0:3:86b7:a921,83.217.75.1"
journalistiek.ap.be,188.208.36.225,Unresolved
www.kandidaat.ap.be,Unresolved,"188.208.36.192,2a00:1c98:1000:1284:0:3:8e03:53a3"
pvi.ap.be,52.49.136.181,Unresolved
sgtm.ap.be,20.105.216.4,Unresolved
uitleen-ict.ap.be,Unresolved,"188.208.36.192,2a00:1c98:1000:1284:0:3:8e03:4af0"
srv-dmz-233.ap.be,193.191.187.233,Unresolved
showandtell.ap.be,188.208.36.237,Unresolved
account.ap.be,217.19.237.54,Unresolved
www.crm-tp.ap.be,Unresolved,"2a00:1c98:1000:1291:0:3:a5b2:78bf,188.208.36.243"
trainers.ap.be,188.208.36.225,Unresolved
zorgneticuro.ap.be,185.162.31.203,Unresolved
ictpedia.ap.be,217.19.237.54,Unresolved
helpmij.ap.be,217.19.237.54,Unresolved
vpnadmin.ap.be,193.191.187.225,Unresolved
srv-dmz-235.ap.be,193.191.187.235,Unresolved
cvf.ap.be,217.19.237.54,Unresolved
typovr.ap.be,188.208.36.225,Unresolved
sysops.ap.be,193.191.187.225,Unresolved
flow.ap.be,217.19.237.54,Unresolved
workshopweb.ap.be,193.191.187.232,Unresolved
stageweb.ap.be,193.191.187.210,Unresolved
verkiezingen.ap.be,193.191.129.203,Unresolved
databanken.ap.be,193.191.187.210,Unresolved
go.ap.be,193.191.187.232,Unresolved
workshop1webdesign-2pr.ap.be,193.191.187.232,Unresolved
workshop1webdesign-2cc.ap.be,193.191.187.232,Unresolved
srv-dmz-232.ap.be,193.191.187.232,Unresolved
wieiswie.ap.be,193.191.187.210,Unresolved
weerbarekunstenaars.ap.be,"185.73.228.142,185.30.124.158",Unresolved
toelatingsproef.ap.be,193.191.187.198,Unresolved
srv.ap.be,193.191.187.210,Unresolved
marketingshop.ap.be,193.191.187.232,Unresolved
ects.ap.be,193.191.187.210,Unresolved
www198.ap.be,193.191.187.198,Unresolved
connectingthecontext.ap.be,193.191.187.232,Unresolved
artslounge.ap.be,188.208.36.192,Unresolved
student.ap.be,193.191.187.210,Unresolved
beeldbank.ap.be,91.121.59.224,Unresolved
emind.ap.be,188.208.36.192,Unresolved
researchoutput.ap.be,188.208.36.225,Unresolved
bamaflexweb.ap.be,193.191.187.195,Unresolved
surveys.ap.be,193.191.187.195,Unresolved
cpanel.zorgneticuro.ap.be,193.191.187.231,Unresolved
inschrijven.ap.be,193.191.187.195,Unresolved
socialpracticelabp.ap.be,193.191.187.231,Unresolved
schuldvordering.ap.be,193.191.187.195,Unresolved
www252.ap.be,193.191.187.252,Unresolved
srv-dmz-244.ap.be,193.191.187.244,Unresolved
radius.ap.be,193.191.187.197,Unresolved
incosmrt.ap.be,188.208.36.192,Unresolved
cpanel.ai.ap.be,193.191.187.231,Unresolved
sslvpn.ap.be,193.191.187.225,Unresolved
mail.eps.ap.be,193.191.187.232,Unresolved
srv-dmz-243.ap.be,193.191.187.243,Unresolved
ibamaflex.ap.be,193.191.187.195,Unresolved
ap4pro-enroll.ap.be,193.191.187.195,Unresolved
blokkenloop.ap.be,193.191.187.231,Unresolved
cpcalendars.eps.ap.be,193.191.187.232,Unresolved
www.eps.ap.be,193.191.187.232,Unresolved
dmz-023.ap.be,193.191.187.203,Unresolved
ns1.ap.be,193.191.187.221,Unresolved
dreamspark.ap.be,193.191.187.232,Unresolved
gdm.ap.be,193.191.187.231,Unresolved
examonitor.ap.be,193.191.187.195,Unresolved
pers.ap.be,Unresolved,"172.66.43.104,2606:4700:3108::ac42:2b68,172.66.40.152,2606:4700:3108::ac42:2898"
ehr.ap.be,193.191.187.195,Unresolved
cpanel.eps.ap.be,193.191.187.232,Unresolved
srv-dmz-253.ap.be,193.191.187.253,Unresolved
srv-dmz-225.ap.be,193.191.187.225,Unresolved
www231.ap.be,193.191.187.231,Unresolved
marketingblog.ap.be,193.191.187.232,Unresolved
mautic.ap.be,193.191.187.241,Unresolved
sldap.ap.be,193.191.187.195,Unresolved
partners.ap.be,193.191.187.225,Unresolved
webdisk.eps.ap.be,193.191.187.232,Unresolved
srv-dmz-241.ap.be,193.191.187.241,Unresolved
sas.ap.be,193.191.187.195,Unresolved
cpcontacts.eps.ap.be,193.191.187.232,Unresolved
ns2.ap.be,193.191.187.222,Unresolved
bibliotheek.ap.be,193.191.187.210,Unresolved
www195.ap.be,193.191.187.195,Unresolved
eps.ap.be,193.191.187.232,Unresolved
triplea.ap.be,193.191.187.231,Unresolved
srv-dmz-229.ap.be,193.191.187.229,Unresolved
peerassessment.ap.be,193.191.187.195,Unresolved
start.ap.be,193.191.187.210,Unresolved
webmail.ap.be,193.191.187.195,Unresolved
mailrelay.ap.be,193.191.187.201,Unresolved
srv-dmz-249.ap.be,193.191.187.249,Unresolved
webmail.eps.ap.be,193.191.187.232,Unresolved
srv-dmz-226.ap.be,193.191.187.226,Unresolved
evasys.ap.be,193.191.187.195,Unresolved
myarts.ap.be,193.191.187.195,Unresolved
eutag.ap.be,193.191.187.231,Unresolved
webdeposit.ap.be,193.191.187.195,Unresolved
srv-dmz-216.ap.be,193.191.187.216,Unresolved
stage-kro.ap.be,193.191.187.195,Unresolved
peerevaluations.ap.be,193.191.187.195,Unresolved
inda.ap.be,193.191.187.195,Unresolved
vacatures.ap.be,193.191.187.195,Unresolved
srv-dmz-210.ap.be,193.191.187.195,Unresolved
edu.ap.be,193.191.187.229,Unresolved
